Recording date:	2017/10/06
Recording time:	14:45:27
Recording resolution	1366 x 768

pygaze initiation report start
display resolution: 1366x768
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
pygaze calibration report start
samplerate: 59 Hz
sampletime: 16.7999535193 ms
accuracy (in pixels): LX=681.937, LY=383.2378, RX=681.9432, RY=383.2292
precision (RMS noise in pixels): X=18.3030052177, Y=26.7581763205
distance between participant and display: 57.0 cm
fixation threshold: 51.3107898708 pixels
speed threshold: 1.19697837223 pixels/ms
accuracy threshold: 327.904497397 pixels/ms**2
pygaze calibration report end
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
3304.1	346.0504	394.7441	0	334.5665	359.3951	0	0.2491	0.4910	
3320.7	339.1367	418.2634	0	332.8465	350.0441	0	0.2460	0.5002	
3337.4	345.1927	400.4875	0	345.2819	333.7444	0	0.2527	0.4780	
3354.1	343.5924	408.8239	0	341.6719	334.5985	0	0.2508	0.4840	
3370.7	337.9288	393.6790	0	344.8302	364.8592	0	0.2499	0.4938	
3387.4	331.4661	400.0587	0	351.8993	343.0383	0	0.2501	0.4838	
3404.1	321.5301	393.2648	0	348.3006	341.5008	0	0.2452	0.4784	
3420.7	343.1077	401.3027	0	340.2124	342.4065	0	0.2501	0.4842	
3437.4	336.9907	396.4498	0	338.5049	349.5923	0	0.2473	0.4857	
3454.1	328.1017	397.6839	0	352.1937	370.4787	0	0.2490	0.5001	
3470.7	353.3308	402.8979	0	347.6962	348.4148	0	0.2566	0.4891	
3487.4	345.6491	392.9021	0	362.3592	357.1042	0	0.2592	0.4883	
3504.1	333.2981	406.5677	0	353.0948	358.0497	0	0.2512	0.4978	
3520.7	341.8636	406.5219	0	344.8875	354.9341	0	0.2514	0.4957	
3537.4	342.1142	404.9323	0	355.7600	348.9714	0	0.2554	0.4908	
3554.1	336.5904	416.0140	0	356.5546	364.0427	0	0.2537	0.5078	
3570.7	325.4186	403.8699	0	344.4630	349.5283	0	0.2452	0.4905	
3587.4	335.8170	395.5929	0	345.0240	364.4477	0	0.2492	0.4948	
3604.1	326.8446	405.8711	0	350.8411	353.8078	0	0.2481	0.4946	
3620.7	327.2509	413.3883	0	340.4536	354.4992	0	0.2444	0.4999	
3637.4	341.6595	387.7754	0	355.9100	366.1752	0	0.2553	0.4909	
3654.1	339.1376	416.1831	0	359.5697	356.8819	0	0.2557	0.5033	
3670.7	330.5394	405.8379	0	354.3044	339.9982	0	0.2507	0.4856	
3687.4	334.6476	394.4547	0	353.3152	340.3728	0	0.2518	0.4784	
3704.1	331.7815	407.3155	0	357.0816	359.9373	0	0.2521	0.4995	
3720.7	324.9646	410.8904	0	353.8315	361.1205	0	0.2485	0.5026	
3737.4	328.4474	400.3998	0	361.9505	353.9458	0	0.2527	0.4911	
3754.1	334.7142	414.3306	0	348.6024	347.6494	0	0.2501	0.4961	
-8.1									start_trial 0
739.4									start_stimuli stim_a9__vs__stim_b9
3736.9									stop_stimuli stim_a9__vs__stim_b9
3737.0									stop_trial
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
16.7	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
33.3	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
50.0	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
66.7	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
83.3	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
100.0	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
116.7	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
133.3	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
148.6	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
165.3	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
183.4	336.9168	423.0474	0	359.0184	359.9412	0	0.2547	0.5098	
200.0	339.2927	425.7910	0	345.9274	356.6650	0	0.2508	0.5094	
216.7	333.4394	427.5809	0	349.0209	366.2156	0	0.2498	0.5168	
233.4	330.2353	406.1194	0	344.7250	352.9907	0	0.2471	0.4942	
250.1	324.3053	409.0971	0	343.5125	362.8132	0	0.2444	0.5025	
265.9	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
283.4	322.7909	395.2601	0	345.0458	369.7223	0	0.2444	0.4980	
300.1	340.2029	414.1205	0	342.1097	357.5816	0	0.2497	0.5024	
316.8	332.6946	428.7839	0	332.9247	363.5404	0	0.2436	0.5158	
333.4	328.7220	403.1694	0	341.9210	376.2497	0	0.2455	0.5074	
350.1	325.2236	400.8510	0	336.0088	340.9748	0	0.2420	0.4830	
366.8	327.7309	418.1710	0	351.6115	359.6646	0	0.2487	0.5064	
383.4	325.7812	407.6929	0	339.5954	374.6421	0	0.2435	0.5093	
400.1	316.3165	412.6581	0	342.2555	348.9289	0	0.2411	0.4958	
416.8	484.6226	368.5620	0	538.2297	316.1199	0	0.3744	0.4458	
433.4	687.8383	394.9763	0	655.9204	439.6892	0	0.4919	0.5434	
450.1	676.7892	413.2736	0	666.8472	390.4945	0	0.4918	0.5233	
466.8	667.2658	382.2831	0	669.6544	340.7424	0	0.4894	0.4707	
483.4	665.2214	406.5212	0	659.3202	361.6082	0	0.4848	0.5001	
500.1	657.7160	411.0016	0	670.6055	388.2297	0	0.4862	0.5203	
516.8	668.3139	404.2280	0	656.9016	491.7195	0	0.4851	0.5833	
533.4	646.6941	416.6835	0	673.6985	368.1757	0	0.4833	0.5110	
550.1	667.2496	394.9357	0	669.2644	360.5126	0	0.4892	0.4918	
566.8	659.3563	381.6691	0	649.9058	407.0468	0	0.4792	0.5135	
583.4	640.8936	388.0553	0	644.7511	378.3628	0	0.4706	0.4990	
600.1	654.2480	401.7576	0	645.9158	425.2353	0	0.4759	0.5384	
616.8	688.1845	376.7847	0	679.1556	399.8274	0	0.5005	0.5056	
633.4	681.6335	384.7022	0	669.5334	357.1523	0	0.4946	0.4830	
650.1	671.7740	383.1540	0	679.9628	398.1864	0	0.4948	0.5087	
666.7	660.6039	397.6180	0	695.5462	374.4205	0	0.4964	0.5026	
683.3	651.2423	418.8852	0	664.6437	418.1435	0	0.4817	0.5449	
700.0	662.2936	382.8393	0	685.7167	374.4263	0	0.4934	0.4930	
716.6	657.4512	400.3006	0	669.6834	373.2394	0	0.4858	0.5036	
733.3	656.9714	400.3767	0	665.8826	345.9615	0	0.4842	0.4859	
750.0	672.7327	388.6134	0	673.4581	412.3917	0	0.4927	0.5215	
766.6	635.7098	425.0010	0	683.0481	370.9988	0	0.4827	0.5182	
783.3	669.3319	416.5400	0	684.6927	385.8407	0	0.4956	0.5224	
800.0	667.4365	399.9492	0	677.1755	378.1835	0	0.4922	0.5066	
816.7	673.5063	387.8709	0	673.8719	386.4690	0	0.4932	0.5041	
833.3	668.6111	401.4816	0	670.7116	395.1796	0	0.4902	0.5187	
850.0	677.3003	432.5728	0	674.5860	366.6942	0	0.4948	0.5204	
866.7	665.6895	389.7215	0	685.7879	393.9595	0	0.4947	0.5102	
883.3	673.3133	375.8892	0	700.9941	337.8602	0	0.5030	0.4647	
900.0	672.8318	422.3129	0	678.9057	393.1601	0	0.4948	0.5309	
916.6	660.0195	391.8606	0	675.2112	376.2126	0	0.4887	0.5000	
933.3	657.3590	376.2384	0	668.5134	389.4749	0	0.4853	0.4985	
950.0	668.4210	383.7777	0	669.0635	372.1759	0	0.4896	0.4922	
966.6	663.1813	370.7012	0	661.6318	362.8399	0	0.4849	0.4776	
983.3	672.6527	367.6389	0	686.2848	320.9160	0	0.4974	0.4483	
999.9	671.0085	382.8913	0	669.1521	347.3486	0	0.4905	0.4754	
